,Adapter,Airborne,Boot,Bottle,Cap,Disk,Halls,Powder,Toy,Tumbler,Tupperware,Umbrella,no obj
Adapter,6,1,0,0,2,13,3,0,0,0,0,3,2
Airborne,3,21,0,0,1,0,0,0,0,0,0,2,3
Boot,2,0,18,0,0,3,2,2,0,0,0,0,3
Bottle,0,0,0,19,0,0,0,11,0,0,0,0,0
Cap,0,0,0,0,28,0,0,0,0,0,0,2,0
Disk,4,0,0,0,0,22,0,0,0,0,0,0,4
Halls,0,0,0,0,0,13,10,1,0,0,0,0,6
Powder,1,0,0,0,0,0,0,23,0,0,4,0,2
Toy,0,0,0,0,4,0,0,0,21,0,0,0,5
Tumbler,0,0,2,0,5,0,0,0,2,19,1,0,1
Tupperware,0,0,0,0,0,0,0,0,0,0,29,0,1
Umbrella,0,1,0,0,0,0,0,2,0,0,0,20,7
