,adapter,airborne,boot ,bottle,cap,disk,halls,powder,toy,tumbler,tupperware,umbrella,no obj,,
adapter,16,0,0,0,0,2,0,0,0,0,0,0,2,,
airborne,0,10,0,0,0,0,0,0,0,0,0,0,3,,
boot,0,0,13,0,0,0,0,0,0,0,0,0,4,,
bottle,0,0,0,22,0,0,0,10,0,0,0,0,6,,
cap,0,0,0,0,15,0,0,0,0,0,0,0,0,,
disk,0,0,0,0,0,6,0,0,0,0,0,0,6,,
halls,0,0,0,0,0,1,12,0,0,0,0,0,0,,
powder,0,0,0,0,0,0,0,13,0,0,0,0,2,,
toy,0,0,0,3,0,0,0,1,28,0,0,1,0,,
tumbler,0,1,6,1,0,0,0,3,0,32,2,0,0,,
tupperware,0,0,0,0,0,0,0,0,0,0,11,0,1,,
umbrella,6,0,0,1,1,0,0,0,0,0,0,20,3,,
no obj,0,0,0,0,1,0,0,0,0,0,0,0,32,,
,,,,,,,,,,,,,,280,312
