,adapter,airborne,boot ,bottle,cap,disk,halls,powder,toy,tumbler,tupperware,umbrella,no obj
adapter,284,0,0,0,36,147,0,2,0,0,0,0,52
airborne,0,249,12,0,6,6,2,8,0,0,0,0,52
boot,0,0,394,8,0,0,0,0,0,0,4,0,12
bottle,4,12,124,373,12,0,4,519,6,51,6,18,0
cap,0,0,0,2,325,2,0,56,0,0,2,0,0
disk,0,0,0,0,0,221,0,0,0,0,0,0,56
halls,4,0,0,2,0,52,253,0,0,0,0,0,0
powder,0,0,0,1,0,0,0,179,9,3,0,0,2
toy,7,0,42,0,41,0,0,198,1331,0,14,133,0
tumbler,3,15,315,15,6,0,0,93,0,560,216,3,3
tupperware,0,0,0,0,0,0,0,0,6,1,124,0,4
umbrella,0,34,54,138,4,0,0,42,2,4,0,534,84
