,adapter,airborne,boot ,bottle,cap,disk,halls,powder,toy,tumbler,tupperware,umbrella,no obj
adapter,284,0,0,0,18,129,0,0,0,0,0,0,88
airborne,0,93,0,0,0,0,0,0,0,0,0,0,220
boot,0,0,305,0,0,0,0,0,0,0,0,0,105
bottle,0,0,6,365,6,0,0,348,0,14,0,0,100
cap,0,0,0,0,323,2,0,40,0,0,0,0,4
disk,0,0,0,0,0,168,0,0,0,0,0,0,109
halls,0,0,0,0,0,52,237,0,0,0,0,0,16
powder,0,0,0,0,0,0,0,134,1,0,0,0,50
toy,0,0,0,0,0,0,0,84,1247,0,14,133,70
tumbler,0,0,90,3,0,0,0,0,0,244,30,0,72
tupperware,0,0,24,9,6,0,0,21,0,274,156,0,44
umbrella,0,0,0,34,0,0,0,32,0,0,0,480,176
no obj,1,1,0,0,1,0,0,0,0,0,0,0,89
